COUNTY_NAME,POPULATION,STATE
"OKFUSKEE COUNTY, OK",12191,OK
"OKLAHOMA COUNTY, OK",718633,OK
"OKMULGEE COUNTY, OK",40069,OK
"OSAGE COUNTY, OK",47472,OK
"OTTAWA COUNTY, OK",31848,OK
"PAWNEE COUNTY, OK",16577,OK
"PAYNE COUNTY, OK",77350,OK
"PITTSBURG COUNTY, OK",45837,OK
"PONTOTOC COUNTY, OK",37492,OK
"POTTAWATOMIE COUNTY, OK",69442,OK
"PUSHMATAHA COUNTY, OK",11572,OK
"ROGER MILLS COUNTY, OK",3647,OK
"ROGERS COUNTY, OK",86905,OK
"SEMINOLE COUNTY, OK",25482,OK
"SEQUOYAH COUNTY, OK",42391,OK
"STEPHENS COUNTY, OK",45048,OK
"TEXAS COUNTY, OK",20640,OK
"TILLMAN COUNTY, OK",7992,OK
"TULSA COUNTY, OK",603403,OK
"WAGONER COUNTY, OK",73085,OK
"WASHINGTON COUNTY, OK",50976,OK
"WASHITA COUNTY, OK",11629,OK
"WOODS COUNTY, OK",8878,OK
"WOODWARD COUNTY, OK",20081,OK
"BAKER COUNTY, OR",16134,OR
"BENTON COUNTY, OR",85579,OR
"CLACKAMAS COUNTY, OR",375992,OR
"CLATSOP COUNTY, OR",37039,OR
"COLUMBIA COUNTY, OR",49351,OR
"COOS COUNTY, OR",63043,OR
"CROOK COUNTY, OR",20978,OR
"CURRY COUNTY, OR",22364,OR
"DESCHUTES COUNTY, OR",157733,OR
"DOUGLAS COUNTY, OR",107667,OR
"GILLIAM COUNTY, OR",1871,OR
"GRANT COUNTY, OR",7445,OR
"HARNEY COUNTY, OR",7422,OR
"HOOD RIVER COUNTY, OR",22346,OR
"JACKSON COUNTY, OR",203206,OR
"JEFFERSON COUNTY, OR",21720,OR
"JOSEPHINE COUNTY, OR",82713,OR
"KLAMATH COUNTY, OR",66380,OR
"LAKE COUNTY, OR",7895,OR
"LANE COUNTY, OR",351715,OR
"LINCOLN COUNTY, OR",46034,OR
"LINN COUNTY, OR",116672,OR
"MALHEUR COUNTY, OR",31313,OR
"MARION COUNTY, OR",315335,OR
"MORROW COUNTY, OR",11173,OR
"MULTNOMAH COUNTY, OR",735334,OR
"POLK COUNTY, OR",75403,OR
"SHERMAN COUNTY, OR",1765,OR
"TILLAMOOK COUNTY, OR",25250,OR
"UMATILLA COUNTY, OR",75889,OR
"UNION COUNTY, OR",25748,OR
"WALLOWA COUNTY, OR",7008,OR
"WASCO COUNTY, OR",25213,OR
"WASHINGTON COUNTY, OR",529710,OR
"WHEELER COUNTY, OR",1441,OR
"YAMHILL COUNTY, OR",99193,OR
"ABBEVILLE COUNTY, SC",25417,SC
"AIKEN COUNTY, SC",160099,SC
"ALLENDALE COUNTY, SC",10419,SC
"ANDERSON COUNTY, SC",187126,SC
"BAMBERG COUNTY, SC",15987,SC
"BARNWELL COUNTY, SC",22621,SC
"BEAUFORT COUNTY, SC",162233,SC
"BERKELEY COUNTY, SC",177843,SC
"CALHOUN COUNTY, SC",15175,SC
"CHARLESTON COUNTY, SC",350209,SC
"CHEROKEE COUNTY, SC",55342,SC
"CHESTER COUNTY, SC",33140,SC
"CHESTERFIELD COUNTY, SC",46734,SC
"CLARENDON COUNTY, SC",34971,SC
"COLLETON COUNTY, SC",38892,SC
"DARLINGTON COUNTY, SC",68681,SC
"DILLON COUNTY, SC",32062,SC
"DORCHESTER COUNTY, SC",136555,SC
"EDGEFIELD COUNTY, SC",26985,SC
"FAIRFIELD COUNTY, SC",23956,SC
"FLORENCE COUNTY, SC",136885,SC
"GEORGETOWN COUNTY, SC",60158,SC
"GREENVILLE COUNTY, SC",451225,SC
"GREENWOOD COUNTY, SC",69661,SC
"HAMPTON COUNTY, SC",21090,SC
"HORRY COUNTY, SC",269291,SC
"JASPER COUNTY, SC",24777,SC
"KERSHAW COUNTY, SC",61697,SC
"LANCASTER COUNTY, SC",76652,SC
"LAURENS COUNTY, SC",66537,SC
"LEE COUNTY, SC",19220,SC
"LEXINGTON COUNTY, SC",262391,SC
"MCCORMICK COUNTY, SC",10233,SC
"MARION COUNTY, SC",33062,SC
"MARLBORO COUNTY, SC",28933,SC
"NEWBERRY COUNTY, SC",37508,SC
"OCONEE COUNTY, SC",74273,SC
"ORANGEBURG COUNTY, SC",92501,SC
"PICKENS COUNTY, SC",119224,SC
"RICHLAND COUNTY, SC",384504,SC
"SALUDA COUNTY, SC",19875,SC
"SPARTANBURG COUNTY, SC",284307,SC
"SUMTER COUNTY, SC",107456,SC
"UNION COUNTY, SC",28961,SC
"WILLIAMSBURG COUNTY, SC",34423,SC
"YORK COUNTY, SC",226073,SC
"ANDERSON COUNTY, TX",58458,TX
"ANDREWS COUNTY, TX",14786,TX
"ANGELINA COUNTY, TX",86771,TX
"ARANSAS COUNTY, TX",23158,TX
"ARCHER COUNTY, TX",9054,TX
"ARMSTRONG COUNTY, TX",1901,TX
"ATASCOSA COUNTY, TX",44911,TX
"AUSTIN COUNTY, TX",28417,TX
"BAILEY COUNTY, TX",7165,TX
"BANDERA COUNTY, TX",20485,TX
"BASTROP COUNTY, TX",74171,TX
"BAYLOR COUNTY, TX",3726,TX
"BEE COUNTY, TX",31861,TX
"BELL COUNTY, TX",310235,TX
"BEXAR COUNTY, TX",1714773,TX
"BLANCO COUNTY, TX",10497,TX
"BORDEN COUNTY, TX",641,TX
"BOSQUE COUNTY, TX",18212,TX
"BOWIE COUNTY, TX",92565,TX
"BRAZORIA COUNTY, TX",313166,TX
"BRAZOS COUNTY, TX",194851,TX
"BREWSTER COUNTY, TX",9232,TX
"BRISCOE COUNTY, TX",1637,TX
"BROOKS COUNTY, TX",7223,TX
"BROWN COUNTY, TX",38106,TX
"BURLESON COUNTY, TX",17187,TX
"BURNET COUNTY, TX",42750,TX
"CALDWELL COUNTY, TX",38066,TX
"CALHOUN COUNTY, TX",21381,TX
"CALLAHAN COUNTY, TX",13544,TX
"CAMERON COUNTY, TX",406220,TX
"CAMP COUNTY, TX",12401,TX
"CARSON COUNTY, TX",6182,TX
"CASS COUNTY, TX",30464,TX
"CASTRO COUNTY, TX",8062,TX
"CHAMBERS COUNTY, TX",35096,TX
"CHEROKEE COUNTY, TX",50845,TX
"CHILDRESS COUNTY, TX",7041,TX
"CLAY COUNTY, TX",10752,TX
"COCHRAN COUNTY, TX",3127,TX
"COKE COUNTY, TX",3320,TX
"COLEMAN COUNTY, TX",8895,TX
"COLLIN COUNTY, TX",782341,TX
"COLLINGSWORTH COUNTY, TX",3057,TX
"COLORADO COUNTY, TX",20874,TX
"COMAL COUNTY, TX",108472,TX
"COMANCHE COUNTY, TX",13974,TX
"CONCHO COUNTY, TX",4087,TX
"COOKE COUNTY, TX",38437,TX
"CORYELL COUNTY, TX",75388,TX
"COTTLE COUNTY, TX",1505,TX
"CRANE COUNTY, TX",4375,TX
"CROCKETT COUNTY, TX",3719,TX
"CROSBY COUNTY, TX",6059,TX
"CULBERSON COUNTY, TX",2398,TX
"DALLAM COUNTY, TX",6703,TX
"DALLAS COUNTY, TX",2368139,TX
"DAWSON COUNTY, TX",13833,TX
"DEAF SMITH COUNTY, TX",19372,TX
"DELTA COUNTY, TX",5231,TX
"DENTON COUNTY, TX",662614,TX
"DEWITT COUNTY, TX",20097,TX
"DICKENS COUNTY, TX",2444,TX
"DIMMIT COUNTY, TX",9996,TX
"DONLEY COUNTY, TX",3677,TX
"DUVAL COUNTY, TX",11782,TX
"EASTLAND COUNTY, TX",18583,TX
"ECTOR COUNTY, TX",137130,TX
"EDWARDS COUNTY, TX",2002,TX
"ELLIS COUNTY, TX",149610,TX
"EL PASO COUNTY, TX",800647,TX
"ERATH COUNTY, TX",37890,TX
"FALLS COUNTY, TX",17866,TX
"FANNIN COUNTY, TX",33915,TX
"FAYETTE COUNTY, TX",24554,TX
"FISHER COUNTY, TX",3974,TX
"FLOYD COUNTY, TX",6446,TX
"FOARD COUNTY, TX",1336,TX
"FORT BEND COUNTY, TX",585375,TX
"FRANKLIN COUNTY, TX",10605,TX
"FREESTONE COUNTY, TX",19816,TX
"FRIO COUNTY, TX",17217,TX
"GAINES COUNTY, TX",17526,TX
"GALVESTON COUNTY, TX",291309,TX
"GARZA COUNTY, TX",6461,TX
"GILLESPIE COUNTY, TX",24837,TX
"GLASSCOCK COUNTY, TX",1226,TX
"GOLIAD COUNTY, TX",7210,TX
"GONZALES COUNTY, TX",19807,TX
"GRAY COUNTY, TX",22535,TX
"GRAYSON COUNTY, TX",120877,TX
"GREGG COUNTY, TX",121730,TX
"GRIMES COUNTY, TX",26604,TX
"GUADALUPE COUNTY, TX",131533,TX
"HALE COUNTY, TX",36273,TX
"HALL COUNTY, TX",3353,TX
"HAMILTON COUNTY, TX",8517,TX
"HANSFORD COUNTY, TX",5613,TX
"HARDEMAN COUNTY, TX",4139,TX
"HARDIN COUNTY, TX",54635,TX
"HARRIS COUNTY, TX",4092459,TX
"HARRISON COUNTY, TX",65631,TX
"HARTLEY COUNTY, TX",6062,TX
"HASKELL COUNTY, TX",5899,TX
"HAYS COUNTY, TX",157107,TX
"HEMPHILL COUNTY, TX",3807,TX
"HENDERSON COUNTY, TX",78532,TX
"HIDALGO COUNTY, TX",774769,TX
"HILL COUNTY, TX",35089,TX
"HOCKLEY COUNTY, TX",22935,TX
"HOOD COUNTY, TX",51182,TX
"HOPKINS COUNTY, TX",35161,TX
"HOUSTON COUNTY, TX",23732,TX
"HOWARD COUNTY, TX",35012,TX
"HUDSPETH COUNTY, TX",3476,TX
"HUNT COUNTY, TX",86129,TX
"HUTCHINSON COUNTY, TX",22150,TX
"IRION COUNTY, TX",1599,TX
"JACK COUNTY, TX",9044,TX
"JACKSON COUNTY, TX",14075,TX
"JASPER COUNTY, TX",35710,TX
"JEFF DAVIS COUNTY, TX",2342,TX
"JEFFERSON COUNTY, TX",252273,TX
"JIM HOGG COUNTY, TX",5300,TX
"JIM WELLS COUNTY, TX",40838,TX
"JOHNSON COUNTY, TX",150934,TX
"JONES COUNTY, TX",20202,TX
"KARNES COUNTY, TX",14824,TX
"KAUFMAN COUNTY, TX",103350,TX
"KENDALL COUNTY, TX",33410,TX
"KENEDY COUNTY, TX",416,TX
"KENT COUNTY, TX",808,TX
"KERR COUNTY, TX",49625,TX
"KIMBLE COUNTY, TX",4607,TX
"KING COUNTY, TX",286,TX
"KINNEY COUNTY, TX",3598,TX
"KLEBERG COUNTY, TX",32061,TX
"KNOX COUNTY, TX",3719,TX
"LAMAR COUNTY, TX",49793,TX
"LAMB COUNTY, TX",13977,TX
"LAMPASAS COUNTY, TX",19677,TX
"LA SALLE COUNTY, TX",6886,TX
"LAVACA COUNTY, TX",19263,TX
"LEE COUNTY, TX",16612,TX
"LEON COUNTY, TX",16801,TX
"LIBERTY COUNTY, TX",75643,TX
"LIMESTONE COUNTY, TX",23384,TX
"LIPSCOMB COUNTY, TX",3302,TX
"LIVE OAK COUNTY, TX",11531,TX
"LLANO COUNTY, TX",19301,TX
"LOVING COUNTY, TX",82,TX
"LUBBOCK COUNTY, TX",278831,TX
"LYNN COUNTY, TX",5915,TX
"MCCULLOCH COUNTY, TX",8283,TX
"MCLENNAN COUNTY, TX",234906,TX
"MCMULLEN COUNTY, TX",707,TX
"MADISON COUNTY, TX",13664,TX
"MARION COUNTY, TX",10546,TX
"MARTIN COUNTY, TX",4799,TX
"MASON COUNTY, TX",4012,TX
"MATAGORDA COUNTY, TX",36702,TX
"MAVERICK COUNTY, TX",54258,TX
"MEDINA COUNTY, TX",46006,TX
"MENARD COUNTY, TX",2242,TX
"MIDLAND COUNTY, TX",136872,TX
"MILAM COUNTY, TX",24757,TX
"MILLS COUNTY, TX",4936,TX
"MITCHELL COUNTY, TX",9403,TX
"MONTAGUE COUNTY, TX",19719,TX
"MONTGOMERY COUNTY, TX",455746,TX
"MOORE COUNTY, TX",21904,TX
"MORRIS COUNTY, TX",12934,TX
"MOTLEY COUNTY, TX",1210,TX
"NACOGDOCHES COUNTY, TX",64524,TX
"NAVARRO COUNTY, TX",47735,TX
"NEWTON COUNTY, TX",14445,TX
"NOLAN COUNTY, TX",15216,TX
"NUECES COUNTY, TX",340223,TX
"OCHILTREE COUNTY, TX",10223,TX
"OLDHAM COUNTY, TX",2052,TX
"ORANGE COUNTY, TX",81837,TX
"PALO PINTO COUNTY, TX",28111,TX
"PANOLA COUNTY, TX",23796,TX
"PARKER COUNTY, TX",116927,TX
"PARMER COUNTY, TX",10269,TX
"PECOS COUNTY, TX",15507,TX
"POLK COUNTY, TX",45413,TX
"POTTER COUNTY, TX",121073,TX
"PRESIDIO COUNTY, TX",7818,TX
"RAINS COUNTY, TX",10914,TX
"RANDALL COUNTY, TX",120725,TX
"REAGAN COUNTY, TX",3367,TX
"REAL COUNTY, TX",3309,TX
"RED RIVER COUNTY, TX",12860,TX
"REEVES COUNTY, TX",13783,TX
"REFUGIO COUNTY, TX",7383,TX
"ROBERTS COUNTY, TX",929,TX
"ROBERTSON COUNTY, TX",16622,TX
"ROCKWALL COUNTY, TX",78337,TX
"RUNNELS COUNTY, TX",10501,TX
"RUSK COUNTY, TX",53330,TX
"SABINE COUNTY, TX",10834,TX
"SAN AUGUSTINE COUNTY, TX",8865,TX
"SAN JACINTO COUNTY, TX",26384,TX
"SAN PATRICIO COUNTY, TX",64804,TX
"SAN SABA COUNTY, TX",6131,TX
"SCHLEICHER COUNTY, TX",3461,TX
"SCURRY COUNTY, TX",16921,TX
"SHACKELFORD COUNTY, TX",3378,TX
"SHELBY COUNTY, TX",25448,TX
"SHERMAN COUNTY, TX",3034,TX
"SMITH COUNTY, TX",209714,TX
"SOMERVELL COUNTY, TX",8490,TX
"STARR COUNTY, TX",60968,TX
"STEPHENS COUNTY, TX",9630,TX
"STERLING COUNTY, TX",1143,TX
"STONEWALL COUNTY, TX",1490,TX
"SUTTON COUNTY, TX",4128,TX
"SWISHER COUNTY, TX",7854,TX
"TARRANT COUNTY, TX",1809034,TX
"TAYLOR COUNTY, TX",131506,TX
"TERRELL COUNTY, TX",984,TX
"TERRY COUNTY, TX",12651,TX
"THROCKMORTON COUNTY, TX",1641,TX
"TITUS COUNTY, TX",32334,TX
"TOM GREEN COUNTY, TX",110224,TX
"TRAVIS COUNTY, TX",1024266,TX
"TRINITY COUNTY, TX",14585,TX
"TYLER COUNTY, TX",21766,TX
"UPSHUR COUNTY, TX",39309,TX
"UPTON COUNTY, TX",3355,TX
"UVALDE COUNTY, TX",26405,TX
"VAL VERDE COUNTY, TX",48879,TX
"VAN ZANDT COUNTY, TX",52579,TX
"VICTORIA COUNTY, TX",86793,TX
"WALKER COUNTY, TX",67861,TX
"WALLER COUNTY, TX",43205,TX
"WARD COUNTY, TX",10658,TX
"WASHINGTON COUNTY, TX",33718,TX
"WEBB COUNTY, TX",250304,TX
"WHARTON COUNTY, TX",41280,TX
"WHEELER COUNTY, TX",5410,TX
"WICHITA COUNTY, TX",131500,TX
"WILBARGER COUNTY, TX",13535,TX
"WILLACY COUNTY, TX",22134,TX
"WILLIAMSON COUNTY, TX",422679,TX
"WILSON COUNTY, TX",42918,TX
"WINKLER COUNTY, TX",7110,TX
"WISE COUNTY, TX",59127,TX
"WOOD COUNTY, TX",41964,TX
"YOAKUM COUNTY, TX",7879,TX
"YOUNG COUNTY, TX",18550,TX
"ZAPATA COUNTY, TX",14018,TX
"ZAVALA COUNTY, TX",11677,TX
"ADAMS COUNTY, WA",18728,WA
"ASOTIN COUNTY, WA",21623,WA
"BENTON COUNTY, WA",175177,WA
"CHELAN COUNTY, WA",72453,WA
"CLALLAM COUNTY, WA",71404,WA
"CLARK COUNTY, WA",425363,WA
"COLUMBIA COUNTY, WA",4078,WA
"COWLITZ COUNTY, WA",102410,WA
"DOUGLAS COUNTY, WA",38431,WA
"FERRY COUNTY, WA",7551,WA
"FRANKLIN COUNTY, WA",78163,WA
"GARFIELD COUNTY, WA",2266,WA
"GRANT COUNTY, WA",89120,WA
"GRAYS HARBOR COUNTY, WA",72797,WA
"ISLAND COUNTY, WA",78506,WA
"JEFFERSON COUNTY, WA",29872,WA
"KING COUNTY, WA",1931249,WA
"KITSAP COUNTY, WA",251133,WA
"KITTITAS COUNTY, WA",40915,WA
"KLICKITAT COUNTY, WA",20318,WA
"LEWIS COUNTY, WA",75455,WA
"LINCOLN COUNTY, WA",10570,WA
"MASON COUNTY, WA",60699,WA
"OKANOGAN COUNTY, WA",41120,WA
"PACIFIC COUNTY, WA",20920,WA
"PEND OREILLE COUNTY, WA",13001,WA
"PIERCE COUNTY, WA",795225,WA
"SAN JUAN COUNTY, WA",15769,WA
"SKAGIT COUNTY, WA",116901,WA
"SKAMANIA COUNTY, WA",11066,WA
"SNOHOMISH COUNTY, WA",713335,WA
"SPOKANE COUNTY, WA",471221,WA
"STEVENS COUNTY, WA",43531,WA
"THURSTON COUNTY, WA",252264,WA
"WAHKIAKUM COUNTY, WA",3978,WA
"WALLA WALLA COUNTY, WA",58781,WA
"WHATCOM COUNTY, WA",201140,WA
"WHITMAN COUNTY, WA",44776,WA
"YAKIMA COUNTY, WA",243231,WA
